method,year,actorCount,topCount,nominalPercent,actualPercent
maxDeviation,2004,1034,86,8.329547800949825,8.317214700193423
maxDeviation,2005,1015,84,8.329547800949825,8.275862068965518
maxDeviation,2006,1420,118,8.329547800949825,8.309859154929578
maxDeviation,2007,1167,97,8.329547800949825,8.31191088260497
maxDeviation,2008,1189,99,8.329547800949825,8.32632464255677
maxDeviation,2009,1079,89,8.329547800949825,8.248378127896201
maxDeviation,2010,1153,96,8.329547800949825,8.326105810928015
maxDeviation,2011,1330,110,8.329547800949825,8.270676691729323
maxDeviation,2012,993,82,8.329547800949825,8.25780463242699
maxDeviation,2013,1108,92,8.329547800949825,8.303249097472925
maxDeviation,2014,1377,114,8.329547800949825,8.278867102396514
maxDeviation,2015,1334,111,8.329547800949825,8.320839580209896
maxDeviation,2016,1165,97,8.329547800949825,8.32618025751073
maxDeviation,2017,1304,108,8.329547800949825,8.282208588957054
maxDeviation,2018,1834,152,8.329547800949825,8.287895310796074
maxDeviation,2019,5008,417,8.329547800949825,8.32667731629393
maxDeviation,2020,3001,249,8.329547800949825,8.29723425524825
maxDeviation,2021,2523,210,8.329547800949825,8.323424494649228
maxDeviation,2022,2999,249,8.329547800949825,8.3027675891964
maxDeviation,2023,1709,142,8.329547800949825,8.308952603861908
maxDeviation,2024,1348,112,8.329547800949825,8.308605341246292
maxDeviation,2025,1169,97,8.329547800949825,8.297690333618478
kneedS1,2004,1034,22,2.165993929773819,2.127659574468085
kneedS1,2005,1015,21,2.165993929773819,2.0689655172413794
kneedS1,2006,1420,30,2.165993929773819,2.112676056338028
kneedS1,2007,1167,25,2.165993929773819,2.1422450728363325
kneedS1,2008,1189,25,2.165993929773819,2.1026072329688814
kneedS1,2009,1079,23,2.165993929773819,2.1316033364226135
kneedS1,2010,1153,24,2.165993929773819,2.0815264527320037
kneedS1,2011,1330,28,2.165993929773819,2.1052631578947367
kneedS1,2012,993,21,2.165993929773819,2.1148036253776437
kneedS1,2013,1108,23,2.165993929773819,2.0758122743682312
kneedS1,2014,1377,29,2.165993929773819,2.1060275962236745
kneedS1,2015,1334,28,2.165993929773819,2.098950524737631
kneedS1,2016,1165,25,2.165993929773819,2.1459227467811157
kneedS1,2017,1304,28,2.165993929773819,2.147239263803681
kneedS1,2018,1834,39,2.165993929773819,2.1264994547437297
kneedS1,2019,5008,108,2.165993929773819,2.1565495207667733
kneedS1,2020,3001,65,2.165993929773819,2.165944685104965
kneedS1,2021,2523,54,2.165993929773819,2.140309155766944
kneedS1,2022,2999,64,2.165993929773819,2.1340446815605203
kneedS1,2023,1709,37,2.165993929773819,2.1650087770626096
kneedS1,2024,1348,29,2.165993929773819,2.1513353115727
kneedS1,2025,1169,25,2.165993929773819,2.1385799828913603
kneedS2,2004,1034,46,4.519691373825283,4.448742746615087
kneedS2,2005,1015,45,4.519691373825283,4.433497536945813
kneedS2,2006,1420,64,4.519691373825283,4.507042253521127
kneedS2,2007,1167,52,4.519691373825283,4.455869751499572
kneedS2,2008,1189,53,4.519691373825283,4.457527333894029
kneedS2,2009,1079,48,4.519691373825283,4.448563484708063
kneedS2,2010,1153,52,4.519691373825283,4.509973980919341
kneedS2,2011,1330,60,4.519691373825283,4.511278195488722
kneedS2,2012,993,44,4.519691373825283,4.431017119838872
kneedS2,2013,1108,50,4.519691373825283,4.512635379061372
kneedS2,2014,1377,62,4.519691373825283,4.502541757443718
kneedS2,2015,1334,60,4.519691373825283,4.497751124437781
kneedS2,2016,1165,52,4.519691373825283,4.463519313304721
kneedS2,2017,1304,58,4.519691373825283,4.447852760736196
kneedS2,2018,1834,82,4.519691373825283,4.471101417666303
kneedS2,2019,5008,226,4.519691373825283,4.512779552715655
kneedS2,2020,3001,135,4.519691373825283,4.498500499833389
kneedS2,2021,2523,114,4.519691373825283,4.5184304399524375
kneedS2,2022,2999,135,4.519691373825283,4.501500500166722
kneedS2,2023,1709,77,4.519691373825283,4.505558806319485
kneedS2,2024,1348,60,4.519691373825283,4.451038575667655
kneedS2,2025,1169,52,4.519691373825283,4.448246364414029
kneedS5,2004,1034,109,10.560961249438343,10.541586073500968
kneedS5,2005,1015,107,10.560961249438343,10.541871921182265
kneedS5,2006,1420,149,10.560961249438343,10.492957746478874
kneedS5,2007,1167,123,10.560961249438343,10.539845758354756
kneedS5,2008,1189,125,10.560961249438343,10.513036164844408
kneedS5,2009,1079,113,10.560961249438343,10.472659870250231
kneedS5,2010,1153,121,10.560961249438343,10.494362532523851
kneedS5,2011,1330,140,10.560961249438343,10.526315789473685
kneedS5,2012,993,104,10.560961249438343,10.473313192346424
kneedS5,2013,1108,117,10.560961249438343,10.559566787003611
kneedS5,2014,1377,145,10.560961249438343,10.530137981118374
kneedS5,2015,1334,140,10.560961249438343,10.494752623688155
kneedS5,2016,1165,123,10.560961249438343,10.55793991416309
kneedS5,2017,1304,137,10.560961249438343,10.506134969325153
kneedS5,2018,1834,193,10.560961249438343,10.523446019629226
kneedS5,2019,5008,528,10.560961249438343,10.543130990415335
kneedS5,2020,3001,316,10.560961249438343,10.5298233922026
kneedS5,2021,2523,266,10.560961249438343,10.543004359889022
kneedS5,2022,2999,316,10.560961249438343,10.536845615205069
kneedS5,2023,1709,180,10.560961249438343,10.53247513165594
kneedS5,2024,1348,142,10.560961249438343,10.534124629080118
kneedS5,2025,1169,123,10.560961249438343,10.521813515825492
