year,actorCount,includedForAggregate,exclusionReason,method,rank,percent,scoreThreshold,noKnee
2004,1034,True,,maxDeviation,77,7.446808510638298,178.14821118602987,False
2004,1034,True,,kneedS1,38,3.6750483558994196,252.82753073620214,False
2004,1034,True,,kneedS2,51,4.932301740812379,225.46889079596951,False
2004,1034,True,,kneedS5,123,11.895551257253384,146.4105386248155,False
2005,1015,True,,maxDeviation,84,8.275862068965518,192.55526145796475,False
2005,1015,True,,kneedS1,23,2.2660098522167487,379.24209905957423,False
2005,1015,True,,kneedS2,84,8.275862068965518,192.55526145796475,False
2005,1015,True,,kneedS5,112,11.03448275862069,165.52704469633866,False
2006,1420,True,,maxDeviation,232,16.338028169014084,96.26070064743512,False
2006,1420,True,,kneedS1,36,2.535211267605634,337.61688460528137,False
2006,1420,True,,kneedS2,95,6.690140845070423,201.67721079345512,False
2006,1420,True,,kneedS5,345,24.295774647887324,62.52257349885323,False
2007,1167,True,,maxDeviation,140,11.996572407883463,132.52267943942604,False
2007,1167,True,,kneedS1,22,1.8851756640959725,342.8397022264709,False
2007,1167,True,,kneedS2,61,5.2270779777206515,214.5760645176659,False
2007,1167,True,,kneedS5,183,15.681233933161954,108.41981604610164,False
2008,1189,True,,maxDeviation,116,9.75609756097561,197.65753436416142,False
2008,1189,True,,kneedS1,54,4.541631623212784,296.6802696013106,False
2008,1189,True,,kneedS2,54,4.541631623212784,296.6802696013106,False
2008,1189,True,,kneedS5,217,18.25063078216989,121.50311156636616,False
2009,1079,True,,maxDeviation,93,8.619091751621871,245.82929693182578,False
2009,1079,True,,kneedS1,27,2.5023169601482853,442.7475232966042,False
2009,1079,True,,kneedS2,40,3.7071362372567194,383.5217129472324,False
2009,1079,True,,kneedS5,162,15.013901760889713,162.17802497288298,False
2010,1153,True,,maxDeviation,91,7.8924544666088465,205.18275175338496,False
2010,1153,True,,kneedS1,51,4.423243712055507,278.72518055664847,False
2010,1153,True,,kneedS2,75,6.5047701647875105,227.76206111342884,False
2010,1153,True,,kneedS5,133,11.535125758889853,174.42132509229907,False
2011,1330,True,,maxDeviation,97,7.293233082706767,217.43375520697666,False
2011,1330,True,,kneedS1,22,1.6541353383458646,446.5256844304255,False
2011,1330,True,,kneedS2,72,5.413533834586466,252.00265340263317,False
2011,1330,True,,kneedS5,129,9.699248120300751,190.49599590395763,False
2012,993,True,,maxDeviation,59,5.94159113796576,286.2021964386993,False
2012,993,True,,kneedS1,43,4.330312185297079,335.8045067804385,False
2012,993,True,,kneedS2,43,4.330312185297079,335.8045067804385,False
2012,993,True,,kneedS5,77,7.754279959718026,259.2993702620527,False
2013,1108,True,,maxDeviation,59,5.324909747292419,267.8669028169663,False
2013,1108,True,,kneedS1,11,0.9927797833935018,604.1285236827603,False
2013,1108,True,,kneedS2,30,2.707581227436823,359.4940108379572,False
2013,1108,True,,kneedS5,118,10.649819494584838,192.33161902992845,False
2014,1377,True,,maxDeviation,156,11.328976034858387,180.1896922803337,False
2014,1377,True,,kneedS1,13,0.944081336238199,718.1060319749611,False
2014,1377,True,,kneedS2,13,0.944081336238199,718.1060319749611,False
2014,1377,True,,kneedS5,192,13.943355119825709,157.91985406266755,False
2015,1334,True,,maxDeviation,99,7.4212893553223385,247.42955427818129,False
2015,1334,True,,kneedS1,15,1.1244377811094453,794.2349290103314,False
2015,1334,True,,kneedS2,60,4.497751124437781,319.8776385179391,False
2015,1334,True,,kneedS5,102,7.646176911544228,245.0579999715326,False
2016,1165,True,,maxDeviation,84,7.210300429184549,257.6767873282456,False
2016,1165,True,,kneedS1,35,3.004291845493562,395.58124715269946,False
2016,1165,True,,kneedS2,84,7.210300429184549,257.6767873282456,False
2016,1165,True,,kneedS5,122,10.472103004291846,212.3929243170609,False
2017,1304,True,,maxDeviation,93,7.131901840490798,259.12418050977163,False
2017,1304,True,,kneedS1,39,2.9907975460122698,392.00602476929055,False
2017,1304,True,,kneedS2,39,2.9907975460122698,392.00602476929055,False
